Route,Velocity,Time,Weather,Roadtype,Holiday
302,33,2013-10-01 00:00:00,1,1,3
302,33,2013-10-01 01:00:00,1,1,3
302,33,2013-10-01 02:00:00,1,1,3
302,33,2013-10-01 03:00:00,1,1,3
302,33,2013-10-01 04:00:00,1,1,3
302,33,2013-10-01 05:00:00,1,1,3
302,32.86666667,2013-10-01 06:00:00,1,1,3
302,31.125,2013-10-01 07:00:00,1,1,3
302,31.71428571,2013-10-01 08:00:00,1,1,3
302,31.26666667,2013-10-01 09:00:00,1,1,3
302,32.73333333,2013-10-01 10:00:00,1,1,3
302,33.5,2013-10-01 11:00:00,1,1,3
302,33.28571429,2013-10-01 12:00:00,1,1,3
302,34.6875,2013-10-01 13:00:00,1,1,3
302,35,2013-10-01 14:00:00,1,1,3
302,34.06666667,2013-10-01 15:00:00,1,1,3
302,35.26666667,2013-10-01 16:00:00,1,1,3
302,34.93333333,2013-10-01 17:00:00,1,1,3
302,36,2013-10-01 18:00:00,1,1,3
302,36,2013-10-01 19:00:00,1,1,3
302,34.86666667,2013-10-01 20:00:00,1,1,3
302,35.75,2013-10-01 21:00:00,1,1,3
302,36,2013-10-01 22:00:00,1,1,3
302,36,2013-10-01 23:00:00,1,1,3
302,36.07142857,2013-10-02 00:00:00,1,1,3
302,36,2013-10-02 01:00:00,1,1,3
302,36,2013-10-02 02:00:00,1,1,3
302,36,2013-10-02 03:00:00,1,1,3
302,36,2013-10-02 04:00:00,1,1,3
302,35.75,2013-10-02 05:00:00,1,1,3
302,36.42857143,2013-10-02 06:00:00,1,1,3
302,36.4,2013-10-02 07:00:00,1,1,3
302,36.6875,2013-10-02 08:00:00,1,1,3
302,36.26666667,2013-10-02 09:00:00,1,1,3
302,35.71428571,2013-10-02 10:00:00,1,1,3
302,36,2013-10-02 11:00:00,1,1,3
302,36,2013-10-02 12:00:00,1,1,3
302,36,2013-10-02 13:00:00,1,1,3
302,36,2013-10-02 14:00:00,1,1,3
302,34,2013-10-02 15:00:00,1,1,3
302,34,2013-10-02 16:00:00,1,1,3
302,34,2013-10-02 17:00:00,1,1,3
302,34,2013-10-02 18:00:00,1,1,3
302,35.73333333,2013-10-02 19:00:00,1,1,3
302,34.6,2013-10-02 20:00:00,1,1,3
302,34.5,2013-10-02 21:00:00,1,1,3
