5 Minutes,Mainline Agg,Mainline Lane 1,Mainline Lane 2,Mainline Lane 3,Mainline Lane 4,HOV/HOT Agg,HOV/HOT Lane 1,HOV/HOT Lane 2,# Lane Pts,% Observed
2016-05-01 00:00:00,13.53,10.7,12.85,14.38,16.22,,,,158,78
2016-05-01 00:05:00,13.8,10.7,12.97,14.85,16.67,,,,158,78
2016-05-01 00:10:00,13.87,10.72,13.08,14.85,16.85,,,,157,78
2016-05-01 00:15:00,13.8,10.73,13.07,14.65,16.73,,,,158,78
2016-05-01 00:20:00,13.7,10.73,13.03,14.57,16.5,,,,158,78
2016-05-01 00:25:00,13.55,10.65,12.9,14.42,16.2,,,,158,78
2016-05-01 00:30:00,13.47,10.62,12.83,14.3,16.15,,,,158,78
2016-05-01 00:35:00,13.43,10.57,12.8,14.28,16.07,,,,158,78
2016-05-01 00:40:00,13.47,10.55,12.87,14.37,16.08,,,,157,78
2016-05-01 00:45:00,13.5,10.57,12.93,14.45,16.07,,,,158,78
2016-05-01 00:50:00,13.52,10.62,12.92,14.47,16.05,,,,158,78
2016-05-01 00:55:00,13.45,10.58,12.83,14.35,16.02,,,,157,78
2016-05-01 01:00:00,13.43,10.57,12.82,14.33,16.05,,,,158,78
2016-05-01 01:05:00,13.42,10.58,12.82,14.3,15.95,,,,157,78
2016-05-01 01:10:00,13.42,10.55,12.78,14.38,15.93,,,,158,78
2016-05-01 01:15:00,13.45,10.57,12.88,14.35,16.02,,,,157,78
2016-05-01 01:20:00,13.5,10.62,12.88,14.5,16.03,,,,158,78
2016-05-01 01:25:00,13.52,10.6,12.92,14.45,16.1,,,,158,78
2016-05-01 01:30:00,13.52,10.6,12.98,14.45,16.02,,,,158,78
2016-05-01 01:35:00,13.52,10.6,12.9,14.43,16.12,,,,157,78
2016-05-01 01:40:00,13.47,10.58,12.87,14.32,16.12,,,,158,78
2016-05-01 01:45:00,13.48,10.6,12.83,14.33,16.17,,,,158,78
2016-05-01 01:50:00,13.5,10.62,12.88,14.35,16.13,,,,158,78
2016-05-01 01:55:00,13.53,10.6,12.87,14.47,16.2,,,,157,78
2016-05-01 02:00:00,13.53,10.63,12.97,14.38,16.17,,,,157,78
2016-05-01 02:05:00,13.57,10.62,13.13,14.4,16.12,,,,157,78
2016-05-01 02:10:00,13.57,10.67,13.02,14.45,16.17,,,,157,78
2016-05-01 02:15:00,13.6,10.68,13.07,14.57,16.08,,,,158,78
2016-05-01 02:20:00,13.58,10.73,13.1,14.43,16.05,,,,158,78
2016-05-01 02:25:00,13.57,10.68,13.05,14.43,16.07,,,,158,78
2016-05-01 02:30:00,13.57,10.67,13.08,14.47,16.05,,,,156,78
2016-05-01 02:35:00,13.58,10.67,13.1,14.53,16.07,,,,158,78
2016-05-01 02:40:00,13.57,10.65,13.07,14.52,16.02,,,,158,78
2016-05-01 02:45:00,13.58,10.67,13.08,14.58,16,,,,157,78
2016-05-01 02:50:00,13.57,10.67,13.12,14.47,15.98,,,,158,78
2016-05-01 02:55:00,13.55,10.67,13.15,14.42,16,,,,158,78
2016-05-01 03:00:00,13.53,10.67,13.13,14.37,15.97,,,,158,78
